name,category,site_url,alt_url,x_handle,ticker,region,city,country
Shennan Circuits Co., Ltd.,PCB,https://www.scc.com.cn/scc/en/index.html,,,
WUS Printed Circuit Co., Ltd.,PCB,https://www.wus.com.tw/index.php/en/,https://www.wustec.com/,,,
Shengyi Electronics Co., Ltd.,PCB,https://www.sye.com.cn/en/gywm/index.aspx,,,
Shengyi Technology Co., Ltd. (laminates),Laminate,https://www.syst.com.cn/index_en.aspx,,,
Samsung Electro-Mechanics,PCB/PKG,https://www.samsungsem.com/,,,KR,Suwon,South Korea
Sumitomo Electric Printed Circuits,PCB,https://www.sei-sect.co.jp/en/,,,JP,Osaka/Shiga,Japan
Sanmina Corporation,EMS/PCB,https://www.sanmina.com/,https://www.sanmina.com/media-center/press-releases/,,,
Jabil Inc.,EMS,https://www.jabil.com/,https://jabil.com/about-us/news-recognitions-policies/newsroom.html,,,
Hon Hai Precision (Foxconn),EMS,https://www.foxconn.com/en-us/,https://www.foxconn.com/en-us/press-center/press-releases/latest-news,,,
Flex Ltd.,EMS,https://www.flex.com/newsroom,,,,
Fabrinet,Opto/EMS,https://fabrinet.com/,https://investor.fabrinet.com/press-releases,,TH,Pathum Thani/Chonburi,Thailand
Cambridge Industries Group (CIG),Optical,https://www.cigtech.com/,,,CN,Shanghai,China
Accton Technology,Networking,https://www.accton.com/,,,TW,Hsinchu,Taiwan
Quanta Computer,ODM,https://www.quantatw.com/quanta/english/default.aspx,,,TW,Taoyuan,Taiwan
Luxshare Precision,EMS,https://www.luxshare-ict.com/en/,,,CN,Dongguan,China
Shenzhen Gongjin Electronics (T&W),CPE,https://www.twsz.com/en/,,,CN,Shenzhen,China
